书名,评分,评价人数
追风筝的人,8.9,295794
小王子,9.0,232092
围城,8.9,193165
解忧杂货店,8.6,254648
活着,9.1,138113
白夜行,9.1,200031
挪威的森林,8.0,189613
嫌疑人X的献身,8.9,153065
三体,8.8,154460
不能承受的生命之轻,8.5,137020
红楼梦,9.6,125185
梦里花落知多少,7.1,147727
达·芬奇密码,8.2,129130
看见,8.8,123870
百年孤独,9.2,121917
1988：我想和这个世界谈谈,7.9,121905
何以笙箫默,7.8,119864
平凡的世界（全三部）,9.0,103195
简爱,8.5,109225
哈利·波特与魔法石,9.0,88383
白夜行,9.2,103090
三体Ⅱ,9.3,91453
飘,9.3,79784
送你一颗子弹,8.6,90061
三体Ⅲ,9.2,90330
天才在左 疯子在右,8.2,93943
傲慢与偏见,8.8,86490
倾城之恋,8.5,89084
三重门,7.4,96345
杜拉拉升职记,7.8,89678
明朝那些事儿（壹）,8.7,84114
哈利·波特与阿兹卡班的囚徒,8.9,74278
目送,8.7,82508
情人,8.1,86367
哈利·波特与密室,8.9,71863
万历十五年,8.9,62881
我们仨,8.7,81680
幻城,7.0,90987
致我们终将逝去的青春,7.8,81821
1Q84 BOOK 1,8.3,78791
狼图腾,8.3,78507
微微一笑很倾城,8.0,78885
独唱团（第一辑）,7.8,80322
莲花,8.0,78126
哈利·波特与火焰杯,9.0,71992
边城,8.6,71629
月亮和六便士,9.0,73554
向左走·向右走,8.4,71180
活着,9.3,76517
穆斯林的葬礼,8.2,71917
从你的全世界路过,7.1,80131
悲伤逆流成河,6.2,85493
恶意,8.4,72194
天龙八部,9.1,57133
放学后,7.6,76992
Harry Potter and the Deathly Hallows,8.9,7128
长安乱,7.4,74110
哈利·波特与混血王子,8.8,63048
一个人的好天气,7.6,71775
苏菲的世界,8.5,63299
许三观卖血记,8.7,64087
1995-2005夏至未至,7.3,68758
撒哈拉的故事,9.0,61289
盗墓笔记,8.3,63232
霍乱时期的爱情,9.0,65283
哈利·波特与凤凰社,8.7,59596
喜宝,8.1,44634
岛上书店,7.6,74616
三生三世 十里桃花,7.9,68702
海边的卡夫卡,8.1,62397
文化苦旅,7.8,65014
基督山伯爵,9.0,52029
窗边的小豆豆,8.7,59431
三国演义（全二册）,9.2,55687
黄金时代,8.8,59242
悟空传,8.4,61396
兄弟（上）,8.3,58890
呼啸山庄,8.4,58244
笑傲江湖（全四册）,9.0,50678
少有人走的路,8.4,56555
民主的细节,8.6,54451
亲爱的安德烈,8.7,54896
灿烂千阳,8.8,54093
老人与海,8.3,55570
遇见未知的自己,8.1,54839
一九八四·动物农场,9.3,24905
牧羊少年奇幻之旅,8.6,55153
福尔摩斯探案全集（上中下）,9.2,49099
小时代1.0折纸时代,6.5,60901
洛丽塔,7.7,54849
百年孤独,8.9,47900
1Q84 BOOK 2,8.4,50924
素年锦时,7.8,52054
情书,8.6,48441
第一次的亲密接触,7.4,52898
神雕侠侣,8.8,46263
一座城池,7.4,52400
茶花女,8.2,49761
麦田里的守望者,7.9,51304
他的国,7.5,50852
彼岸花,7.8,48665
西决,7.9,47995
东方快车谋杀案,9.0,39279
挪威的森林,8.5,48501
这些都是你给我的爱,8.4,44454
这些人，那些事,8.8,43518
八月未央,7.5,48328
当我谈跑步时我谈些什么,8.1,46405
明朝那些事儿（贰）,8.9,42565
清醒纪,7.9,45085
一个陌生女人的来信,8.7,44562
蔡康永的说话之道,7.2,49531
偷影子的人,7.8,51857
陪安东尼度过漫长岁月,8.4,42542
沉默的大多数,9.1,42219
白鹿原,8.6,44195
芒果街上的小屋,7.8,44407
羊脂球,8.1,43816
鲁滨逊漂流记,8.0,44682
灌篮高手31,9.5,27037
撒哈拉的故事,9.2,38922
巴黎圣母院,8.3,42341
肖申克的救赎,9.1,39108
麦田里的守望者,8.1,42828
无声告白,8.2,46206
嫌疑人X的献身,9.0,38873
山楂树之恋,7.8,41192
华胥引（全二册）,8.5,39695
地下铁,8.3,39569
且听风吟,7.8,42439
钢铁是怎样炼成的,7.6,43450
红玫瑰与白玫瑰,8.4,39983
人生若只如初见,7.2,43201
人间失格,8.3,44822
鬼吹灯之精绝古城,8.1,40139
安徒生童话故事集,9.2,35863
呐喊,8.8,37569
小团圆,7.6,40926
泡沫之夏,6.9,42680
会有天使替我爱你,6.6,43670
1984,9.3,41295
年华是无效信,7.6,39401
幻夜,7.5,42635
在路上,7.8,38818
射雕英雄传（全四册）,8.9,33129
明朝那些事儿（1-9）,9.1,36988
月亮忘記了,8.6,35565
明朝那些事儿（叁）,8.9,35447
哭泣的骆驼,8.9,30386
原来你还在这里,7.6,38393
半生缘,8.6,36529
此间的少年,8.4,35728
货币战争,7.2,39665
佳期如梦,7.9,36178
人类简史,9.1,41752
无人生还,8.9,35737
一個人住第5年,8.4,34820
了不起的盖茨比,8.3,37463
时间旅行者的妻子,8.1,35501
告别薇安,7.5,37503
常识,8.1,35453
爱你就像爱生命,8.8,35847
撒哈拉的故事,9.3,34508
步步惊心,8.1,35175
皮囊,7.7,40790
二三事,7.7,35771
兄弟（下）,7.4,37272
孤独六讲,8.1,35822
乌合之众,8.3,36777
盗墓笔记2,8.2,34472
明朝那些事儿（肆）,8.8,32604
失恋33天,8.1,33976
动物农场,9.2,33104
左耳,7.0,37597
鹿鼎记（全五册）,8.8,27907
荆棘鸟,8.6,31907
左手倒影，右手年华。,6.7,38029
零下一度,7.2,35899
像少年啦飞驰,7.3,35746
寻路中国,9.0,30725
被窝是青春的坟墓,7.7,33795
我们台湾这些年,7.4,34951
1Q84 BOOK 3,7.6,34384
关于莉莉周的一切,7.7,33320
机器猫哆啦A梦23,9.5,27797
阿Q正传,8.7,30642
乖，摸摸头,7.4,34786
大地之灯,8.2,30773
摆渡人,6.3,43302
黄金时代,8.9,30378
明朝那些事儿（伍）,8.8,29706
骆驼祥子,8.2,32821
盗墓笔记3,8.4,30619
麦琪的礼物,8.6,29930
格林童话全集,8.9,29001
如何阅读一本书,8.4,32118
当我们谈论爱情时我们在谈论什么,7.8,32531
尘埃落定,8.4,30333
水仙已乘鲤鱼去,7.8,30854
历史深处的忧虑,9.0,28164
嫌疑人X的献身,9.0,30645
